Название_судна,Бортовой_номер,IMO,Тип_Модель,Год_постройки,Состояние,Регион_работы,Судовладелец_ИНН,Судовладелец,GFW_ID,GFW_Name,Регион_регистрации
БАРЕНЦЕВО МОРЕ,АК-0074,9836153,,,Эксплуатация,Северный,2901128602,"АО ""АТФ""",7fd072328-8103-79d2-3be3-570aa1c44166,BARENTSEVO MORE,Мурманская обл.
БАТМ К-1864,К-1864,,БАТМ,,Эксплуатация,Норвежский,3908021441,"АО ""РПК ""РЫБФЛОТ-ФОР""",85c88d7bc-c4e9-e62e-ff0c-3f8cf6fba491,RUN AN 1,Калининградская обл.
БАТМ К-1966,К-1966,,БАТМ,,Эксплуатация,Норвежский,3908021441,"АО ""РПК ""РЫБФЛОТ-ФОР""",85c88d7bc-c4e9-e62e-ff0c-3f8cf6fba491,RUN AN 1,Калининградская обл.
БЕЛОЕ МОРЕ,АК-6587,9775696,,,Эксплуатация,Северный,2901128602,"АО ""АТФ""",0071c69dd-da4b-31fc-918c-35da8cd0c712,BELOE MORE,Мурманская обл.
Багратион,,,РТ,,Эксплуатация,Дальневосточный,2537008664,"АО ""ИНТРАРОС""",81916b1cc-c791-82d6-06e5-02ae59067e10,BAGRATION,Приморский край
Багратион,,,,,Эксплуатация,Дальневосточный,2538146392,"ООО ""ЭЛЬБРУС""",81916b1cc-c791-82d6-06e5-02ae59067e10,BAGRATION,Приморский край
Байга,АК-0752,,,,Эксплуатация,Северный,1002006360,"ООО ""СОГЛАСИЕ""",bef953f51-1c05-db35-5f15-d8fc75feed48,BAYDA,Мурманская обл.
Бакланово,,7945663,,,Эксплуатация,Дальневосточный,4100000530,"АО ""ОКЕАНРЫБФЛОТ""",4a4030a1d-dc04-5af4-26de-399174889aa5,BAKLANOVO,Камчатский край
Баренцбург,МК-0644,,,,Эксплуатация,Северный,5190303200,"ООО «КАРАТ-1""",23701c30b-b56d-ad98-56cd-b65ac750b653,BARENTSBURG,Мурманская обл.
Барс,,,РШ,,Эксплуатация,Дальневосточный,2518001230,"ООО ""ВОСХОД""",9e03f040d-d1ed-031b-4378-06b521a9ad6c,BARCELONA,Приморский край
Баскунчакский,,8723311,РТ,,Эксплуатация,,9201011440,"ООО ""МОРСКОЙ КОЛОКОЛ""",a003747e3-369f-b1df-a89b-5b83ae811a73,BASKUNCHAKSKIY,г. Севастополь
Бекас,,,РС,,Эксплуатация,Дальневосточный,6518009557,"ООО ""ОСТРОВНОЙ-КРАБ""",92adc84a8-8165-f9db-d319-82afee1a764a,BEKAS,Сахалинская обл.
Беломорск,СП-4326,,,,Эксплуатация,Северный,1011008571,"ООО ""РК ""ВИРМА""",c1404e7a9-9615-24bd-a0c9-7317ddcc8d95,BELOMORSK,Мурманская обл.
Березина,,,БМРТ,,Эксплуатация,Дальневосточный,2537008664,"АО ""ИНТРАРОС""",b1b72b533-3bdc-ff9f-32a6-1d43ed694d36,BEREZINA,Приморский край
Бикин,,8352162,РС,,Эксплуатация,Дальневосточный,2536312196,"ООО ""АТЛАНТИК КРАБ""",df8f53dfc-c22b-2d91-07d2-0e9fe4ce99f8,BIKIN,Приморский край
Бланкет,,9055230,,,Эксплуатация,Дальневосточный,4101153635,"АО ""ЯМСЫ""",7a0ff247a-a476-b9e7-7216-a4f5dd33cc7c,BLANKET,Камчатский край
Борей,М-0264,,,,Эксплуатация,Северный,5193400971,ООО «НОРД-КАП»,ea7dc7a0f-f197-da03-0128-ef369f2df387,BOREY,Мурманская обл.
Борис Зайцев,М-0202,9137478,,,Эксплуатация,Северный,5100000010,ПАО «МУРМАНСКИЙ ТРАЛОВЫЙ ФЛОТ» ИЛИ ПАО «МТФ»,cf7341971-1337-b77b-4c28-a7c71586c5b5,BORIS ZAYTSEV,Мурманская обл.
Борис Трофименко,,8907058,,,Эксплуатация,Дальневосточный,4101013772,"АО ""Акрос""",a0d8c25d9-9680-fcda-a966-36c5a83e4f6d,BORIS TROFIMENKO,Камчатский край
Борисов,,7941631,БМРТ,,Эксплуатация,Дальневосточный,2508010370,"ООО ТОРГОВО-ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ ""ИРНА""",995beb1c1-117a-3c44-44a8-531c2583822e,BORISOV,Камчатский край
Бородино,,8831649,БМРТ,,Эксплуатация,Дальневосточный,2500000073,"АО ""ДАЛЬРЫБА""",4070b7b88-8a17-1815-4e6a-f14ebd9451ff,BORODINO,Приморский край
Бородино,,8831649,БМРТ,,Эксплуатация,Дальневосточный,2537008664,"АО ""ИНТРАРОС""",4070b7b88-8a17-1815-4e6a-f14ebd9451ff,BORODINO,Приморский край
Бостон,МК-2143,,,,Эксплуатация,Северный,5190087630,"ООО ""ЛАЙФИКС ФУДС""",0d9c9f73c-cb15-44bc-4c1d-df080703a06d,,Мурманская обл.
Братцево,,8721806,СРТМ,,Эксплуатация,Дальневосточный,8203002819,"ООО ""ТЫМЛАТСКИЙ РЫБОКОМБИНАТ""",20379899d-dcb2-07ec-ba3d-70e48601ede6,BRATTSEVO,Камчатский край
Братья Стояновы,К-2060,8729987,БАТМ,,Эксплуатация,Норвежский,3905035083,"АО ""РЫБОПРОМЫСЛОВАЯ КОМПАНИЯ ФОР""",8389a0531-1244-73a2-e085-7dd18409e9a2,BRATYA STOYANOVY,Калининградская обл.
