Запись,Компания,Компания_ИНН,Год,Бассейн,Объект_лова,Тип_квоты,Доля_процент,Объем_тонн,Дата_начала_договора,Дата_окончания_договора,Причина_изменения,Группа_компаний
"ООО ""ПРИМОРСКИЕ МОЛЛЮСКИ"" — Спизула (825) — 2025","ООО ""ПРИМОРСКИЕ МОЛЛЮСКИ""",2502072933,2025,Дальневосточный,Спизула (825),Промышленная,6.252,34.314,29.08.2018,28.08.2033,,
"ООО ""ПРИМОРСКИЕ МОЛЛЮСКИ"" — Спизула (825) — 2026","ООО ""ПРИМОРСКИЕ МОЛЛЮСКИ""",2502072933,2026,Дальневосточный,Спизула (825),Промышленная,6.252,34.283,29.08.2018,28.08.2033,,
"ООО ""ПРИМОРСКИЙ МИНТАЙ"" — Минтай — 2025","ООО ""ПРИМОРСКИЙ МИНТАЙ""",2502077466,2025,Дальневосточный,Минтай,Промышленная,39.391,7757.7,05.09.2018,04.09.2033,,
"ООО ""ПРИМОРСКИЙ МИНТАЙ"" — Минтай — 2026","ООО ""ПРИМОРСКИЙ МИНТАЙ""",2502077466,2026,Дальневосточный,Минтай,Промышленная,39.391,7218.473,05.09.2018,04.09.2033,Биология/ОДУ,
"ООО ""Юния"" — Креветка — 2023","ООО ""Юния""",2503017090,2023,Дальневосточный,Креветка,Промышленная,7.267,11.991,13.04.2022,12.04.2037,,
"ООО ""ЮНИЯ"" — Креветка — 2024","ООО ""ЮНИЯ""",2503017090,2024,Дальневосточный,Креветка,Промышленная,7.267,14.607,13.04.2022,12.04.2037,,
"ООО ""Юния"" — Минтай — 2023","ООО ""Юния""",2503017090,2023,Дальневосточный,Минтай,Промышленная,3.852,927.733,31.08.2018,30.08.2033,,
"ООО ""юния"" — Минтай — 2023","ООО ""юния""",2503017090,2023,Дальневосточный,Минтай,Промышленная,3.852,927.733,31.08.2018,30.08.2033,,
"ООО ""ЮНИЯ"" — Минтай — 2024","ООО ""ЮНИЯ""",2503017090,2024,Дальневосточный,Минтай,Промышленная,3.852,1015.031,31.08.2018,30.08.2033,Биология/ОДУ,
"АО ""РК ""Новый мир"" — Минтай — 2023","АО ""РК ""Новый мир""",2503023449,2023,Дальневосточный,Минтай,Инвестиционная,3.427,750.913,25.05.2018,24.05.2033,,
"АО ""РК ""Новый мир"" — Минтай — 2023","АО ""РК ""Новый мир""",2503023449,2023,Дальневосточный,Минтай,Инвестиционная,3.427,3507.993,25.05.2018,24.05.2033,,
"АО ""РК ""Новый мир"" — Минтай — 2023","АО ""РК ""Новый мир""",2503023449,2023,Дальневосточный,Минтай,Инвестиционная,3.427,2177.262,25.05.2018,24.05.2033,,
"АО ""РК ""Новый мир"" — Минтай — 2023","АО ""РК ""Новый мир""",2503023449,2023,Дальневосточный,Минтай,Инвестиционная,3.427,9.003,25.05.2018,24.05.2033,,
"АО ""РК ""Новый мир"" — Минтай — 2023","АО ""РК ""Новый мир""",2503023449,2023,Дальневосточный,Минтай,Инвестиционная,3.427,750.913,25.05.2018,24.05.2033,,
"АО ""РК ""Новый мир"" — Минтай — 2023","АО ""РК ""Новый мир""",2503023449,2023,Дальневосточный,Минтай,Инвестиционная,3.427,9.003,25.05.2018,24.05.2033,,
"АО ""РК ""Новый мир"" — Минтай — 2023","АО ""РК ""Новый мир""",2503023449,2023,Дальневосточный,Минтай,Инвестиционная,3.427,2177.262,25.05.2018,24.05.2033,,
"АО ""РК ""НОВЫЙ МИР"" — Минтай — 2024","АО ""РК ""НОВЫЙ МИР""",2503023449,2024,Дальневосточный,Минтай,Инвестиционная,3.427,892.79,25.05.2018,24.05.2033,Биология/ОДУ,
"АО ""РК ""НОВЫЙ МИР"" — Минтай — 2024","АО ""РК ""НОВЫЙ МИР""",2503023449,2024,Дальневосточный,Минтай,Инвестиционная,3.427,4111.371,25.05.2018,24.05.2033,Биология/ОДУ,
"АО ""РК ""Новый мир"" — Сельдь — 2023","АО ""РК ""Новый мир""",2503023449,2023,Дальневосточный,Сельдь,Инвестиционная,3.427,1982.917,25.05.2018,24.05.2033,,
"АО ""РК ""Новый мир"" — Сельдь — 2023","АО ""РК ""Новый мир""",2503023449,2023,Дальневосточный,Сельдь,Инвестиционная,3.427,1982.917,25.05.2018,24.05.2033,,
"АО ""РК ""НОВЫЙ МИР"" — Сельдь — 2024","АО ""РК ""НОВЫЙ МИР""",2503023449,2024,Дальневосточный,Сельдь,Инвестиционная,3.427,2119.618,25.05.2018,24.05.2033,Биология/ОДУ,
"ОАО ""РК ""Приморец"" — Краб — 2023","ОАО ""РК ""Приморец""",2503029553,2023,Дальневосточный,Краб,Промышленная,1.004,2.495,05.09.2018,04.09.2033,,
"ОАО ""РК ""ПРИМОРЕЦ"" — Краб — 2024","ОАО ""РК ""ПРИМОРЕЦ""",2503029553,2024,Дальневосточный,Краб,Промышленная,5.937,297.165,31.08.2018,30.08.2033,,
"ОАО ""РК ""ПРИМОРЕЦ"" — Краб — 2025","ОАО ""РК ""ПРИМОРЕЦ""",2503029553,2025,Дальневосточный,Краб,Промышленная,5.937,367.352,31.08.2018,30.08.2033,,
"ОАО ""РК ""ПРИМОРЕЦ"" — Краб — 2026","ОАО ""РК ""ПРИМОРЕЦ""",2503029553,2026,Дальневосточный,Краб,Промышленная,5.937,360.918,31.08.2018,30.08.2033,,
ОАО «РК «ПРИМОРЕЦ» — Краб — 2026,ОАО «РК «ПРИМОРЕЦ»,2503029553,2026,Дальневосточный,Краб,Промышленная,,5.937,nan,nan,Регулятор/Инвестквоты,
"ОАО ""РК ""Приморец"" — Кукумария — 2023","ОАО ""РК ""Приморец""",2503029553,2023,Дальневосточный,Кукумария,Промышленная,2.284,32.963,30.08.2018,29.08.2033,,
ОАО «РК «ПРИМОРЕЦ» — Кукумария — 2026,ОАО «РК «ПРИМОРЕЦ»,2503029553,2026,Дальневосточный,Кукумария,Промышленная,,2.284,nan,nan,,
"ОАО ""РК ""ПРИМОРЕЦ"" — Кукумария (639) — 2023","ОАО ""РК ""ПРИМОРЕЦ""",2503029553,2023,Дальневосточный,Кукумария (639),Промышленная,2.284,32.963,30.08.2018,29.08.2033,,
"ОАО ""РК ""ПРИМОРЕЦ"" — Кукумария (639) — 2024","ОАО ""РК ""ПРИМОРЕЦ""",2503029553,2024,Дальневосточный,Кукумария (639),Промышленная,2.284,8.994,30.08.2018,29.08.2033,Регулятор/Инвестквоты,
"ОАО ""РК ""ПРИМОРЕЦ"" — Кукумария (639) — 2025","ОАО ""РК ""ПРИМОРЕЦ""",2503029553,2025,Дальневосточный,Кукумария (639),Промышленная,2.284,9.769,30.08.2018,29.08.2033,,
